file,executed_lines,missing_lines,excluded_lines,summary_percent
modules\account_runner.py,46,20,0,69.6969696969697
modules\ast_graph_builder.py,0,19,0,0.0
modules\cfg_loader.py,0,5,0,0.0
modules\cfg_local.py,0,25,0,0.0
modules\common\time_helper.py,32,0,8,100.0
modules\core\__init__.py,5,2,0,71.42857142857143
modules\core\checkpoint.py,0,2,0,0.0
modules\core\main_features.py,15,10,0,60.0
modules\core\parking_lot.py,0,14,0,0.0
modules\dm\__init__.py,4,0,0,100.0
modules\dm\bot.py,0,471,0,0.0
modules\dm\bot_cache.py,0,12,0,0.0
modules\dm\bot_checkpoint.py,0,46,0,0.0
modules\dm\bot_comment.py,14,10,0,58.333333333333336
modules\dm\bot_get.py,0,265,0,0.0
modules\dm\bot_state.py,0,14,0,0.0
modules\dm\interact_DM.py,0,39,0,0.0
modules\dm\logger.py,0,16,0,0.0
modules\dm\mention_handler.py,0,22,0,0.0
modules\dm\queue.py,80,2,0,97.5609756097561
modules\dm\rules.py,23,0,0,100.0
modules\dm\types.py,0,18,0,0.0
modules\log_trace.py,27,3,0,90.0
modules\manual_import.py,8,0,0,100.0
modules\pickle_serializer.py,0,9,0,0.0
modules\pprint_util_custom.py,24,0,0,100.0
modules\queue\_entry_queue.py,25,1,0,96.15384615384616
modules\queue\_unbounded_queue.py,41,1,0,97.61904761904762
modules\six_util_custom.py,8,3,0,72.72727272727273
modules\sns\insta_dm_sender.py,36,0,0,100.0
modules\sns\uploader_instagram.py,31,0,0,100.0
modules\ssl_handler.py,3,0,0,100.0
modules\task_queue_mgr.py,15,0,0,100.0
tools\add_docstrings_auto.py,0,40,0,0.0
tools\analyze_missing_usage.py,0,69,0,0.0
tools\analyze_pylint_report.py,0,26,0,0.0
tools\auto_generate_tests.py,0,116,0,0.0
tools\ci_verify_integrity.py,0,26,0,0.0
tools\diff_hashlist.py,0,20,0,0.0
tools\filter_needed_files.py,0,23,0,0.0
tools\fix_e0001_indent_errors.py,0,15,0,0.0
tools\fix_import_errors.py,0,41,0,0.0
tools\generate_fingerprint.py,0,18,0,0.0
tools\generate_master_hash.py,0,33,0,0.0
tools\hash_verify.py,0,56,0,0.0
tools\layout_sim.py,0,31,0,0.0
tools\map_recent_to_mastertree.py,0,41,0,0.0
tools\module_trace_auto_recovery.py,0,12,0,0.0
tools\needed_files_by_name.py,0,26,0,0.0
tools\needed_files_from_imports.py,0,24,0,0.0
tools\parse_coverage_json_to_csv.py,0,27,0,0.0
tools\parse_functions.py,0,42,0,0.0
tools\remove_bom_normalize.py,0,15,0,0.0
tools\scan_tree.py,0,61,0,0.0
tools\test_safety_checker.py,0,49,2,0.0
tools\tree_checker.py,0,40,0,0.0
